Name,year,esrp,genre,rate,vote,country,company
The Pandora Directive,1996,19961996,ActionAdventureComedy,8.9,267,United States,Access Software Inc.
Baldur's Gate,1998,19981998TT,ActionAdventureFantasy,8.9,1.8K,United States,Bioware
Freelancer,2003,20032003,ActionAdventureMystery,8.9,519,Canada,Digital Anvil
Blade Runner,1997,19971997TT,MysterySci-FiThriller,8.9,1.9K,United States,Westwood Studios Inc.
Kirby's Extra Epic Yarn,2019,20192019EE,Adventure,8.8,104,Japan,Good-Feel Co.
World Cricket Championship 2,2015,20152015,Sport,8.8,6,India,Nextwave Multimedia
Nehrim: At Fate's Edge,2010,20102010,ActionAdventureFantasy,8.8,8,Germany,
D.I.R.T.: Origin of the Species,2006,20062006,ActionAdventureFantasy,8.8,7,United States,Generation Gamers Game
The Legend of Heroes: Trails of Cold Steel IV,2018,20182018,AdventureFantasy,8.8,43,Japan,Nihon Falcom Corporation
Sekiro: Shadows Die Twice,2019,20192019MM,ActionAdventureFantasy,8.8,3K,Japan,From Software
