Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
Homeworld: Cataclysm,2000,Not Rated,Sci-Fi,8.5,72,United States,Barking Dog Studios,2.03
Nancy Drew: The Secret of Shadow Ranch,2004,Not Rated,Romance,8.5,110,United States,Her Interactive Inc.,2.03
Drakan: Order of the Flame,1999,Not Rated,Fantasy,8.5,70,United States,Surreal Software,2.03
Dûpurizumu,1999,Everyone,Comedy,8.5,54,Japan,Square Company,2.03
Wolfenstein: Enemy Territory,2003,Mature,War,8.5,330,United States,Splash Damage,2.02
Jurassic Park: Operation Genesis,2003,Teen,Family,8.5,381,Australia,Unknown,2.02
Ratchet & Clank: Going Commando,2003,Teen,Comedy,8.5,1000,United States,Insomniac Games,2.02
Might and Magic VII: For Blood and Honor,1999,Teen,Sci-Fi,8.5,95,United States,New World Computing,2.02
Marathon,1994,Not Rated,Sci-Fi,8.5,83,United States,Bungie Software,2.01
Prince of Persia: The Sands of Time,2003,Teen,Fantasy,8.5,5000,Canada,Ubisoft Montreal,2.01
Jak II,2003,Teen,Comedy,8.5,1000,United States,Naughty Dog,2.01
Panzer Dragoon II Zwei,1996,Adults Only,Action,8.5,93,Japan,Team Andromeda,2
WWE SmackDown! Here Comes the Pain,2003,Teen,Sport,8.5,617,United States,THQ,2
Mario Kart: Double Dash!!,2003,Everyone,Fantasy,8.5,2000,Japan,GameCube,2
Outcast,1999,Not Rated,Sci-Fi,8.5,167,Belgium,Appeal,1.99
Legacy of Kain: Defiance,2003,Mature,Fantasy,8.5,676,United States,Crystal Dynamics,1.99
Ace Combat 04: Shattered Skies,2001,Everyone,Drama,8.5,198,Japan,Namco,1.99
Zero,2001,Teen,Mystery,8.5,582,Japan,Tecmo,1.99
Drakan: The Ancient's Gates,2002,Not Rated,Fantasy,8.5,62,United States,Outsource Media,1.98
Gran Turismo 4,2004,Everyone,Sport,8.5,944,Japan,Polyphony Digital,1.98
